docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:5:Summary: 71 rows; 6 compatibility facades; 23 migration candidates; 20 app adapters/plugin integrations; 1 owner-decision candidate; 15 test-only rows.
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:48:| apps/web-demo/src/utils/safeStorage/crypto.ts | safeStorage | Web Crypto plus crypto-es helper | app-local-shared-candidate | needs-owner-decision | true | false | true | false | @ccd/contracts type-only, app adapter or approved web-library | owner decision required | high | M5 | B-07 | Do not move Web Crypto implementation into contracts/core. |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:9:| apps/desktop/src/plugins/index.ts | @ccd/desktop | import-from | primevue/config | production | approved-app-plugin-integration | app-plugin-integration | true | yes | apps/desktop plugin shell | keep; install PrimeVue through @ccd/vue-primevue-adapter config/services | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:21:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | primevue/dynamicdialog | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:22:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | primevue/toast | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:23:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | primevue/usetoast | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:24:| apps/web-demo/src/plugins/modules/primevue.ts | @ccd/web-demo | import-from | primevue/config | production | approved-app-plugin-integration | app-plugin-integration | true | yes | apps/web-demo plugin shell | keep; install PrimeVue through @ccd/vue-primevue-adapter config/services | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:25:| apps/web-demo/src/router/utils/helper.ts | @ccd/web-demo | type-import-from | primevue/menuitem | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:26:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/accordion | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:27:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/accordioncontent | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:28:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/accordionheader | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:29:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/accordionpanel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:30:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/autocomplete | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:31:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/avatar | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:32:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/badge | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:33:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/breadcrumb | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:34:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/button | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:35:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/buttongroup | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:36:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/card | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:37:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/checkbox | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:38:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/chip | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:39:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/column | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:40:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/confirmpopup | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:41:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/datatable | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:42:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/datepicker | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:43:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/divider | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:44:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/drawer | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:45:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/fieldset | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:46:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/fileupload | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:47:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/floatlabel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:48:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/iconfield | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:49:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/image | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:50:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/inlinemessage | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:51:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/inputicon | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:52:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/inputmask | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:53:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/inputnumber | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:54:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/inputtext | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:55:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/knob | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:56:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/listbox | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:57:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/menu | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:58:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/message | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:59:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/multiselect | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:60:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/panel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:61:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/password | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:62:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/popover | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:63:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/progressbar | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:64:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/progressspinner | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:65:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/radiobutton | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:66:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/rating | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:67:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/select | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:68:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/selectbutton | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:69:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/skeleton | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:70:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/slider | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:71:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/splitbutton | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:72:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/splitter | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:73:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/splitterpanel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:74:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/step | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:75:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/steplist | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:76:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/steppanel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:77:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/steppanels | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:78:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/stepper | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:79:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tab | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:80:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tablist | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:81:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tabpanel | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:82:| apps/web-demo/src/types/components.d.ts | @ccd/web-demo | import-call | primevue/tabpanels | production | approved-exact-app-allowlist | app-local-compat-facade | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
